mn_12,    'soilhorizon_mn_12    ',surf.,UC2,mn
moc_12,    'soilhorizon_moc_12   ',surf.,UC2,moc
pore_12,    'soilhorizon_pore_12  ',surf.,UC2,pore
thetar_12,    'soilhorizon_thetar_12',surf.,UC2,thetar
thetas_12,    'soilhorizon_thetas_12',surf.,UC2,thetas
bd_13,    'soilhorizon_bd_13    ',surf.,UC3,bd
hg_13,    'soilhorizon_hg_13    ',surf.,UC3,hg
Ks_13,    'soilhorizon_Ks_13    ',surf.,UC3,Ks
Kx_13,    'soilhorizon_Kx_13    ',surf.,UC3,Kx
mn_13,    'soilhorizon_mn_13    ',surf.,UC3,mn
moc_13,    'soilhorizon_moc_13   ',surf.,UC3,moc
pore_13,    'soilhorizon_pore_13  ',surf.,UC3,pore
thetar_13,    'soilhorizon_thetar_13',surf.,UC3,thetar
thetas_13,    'soilhorizon_thetas_13',surf.,UC3,thetas
bd_14,    'soilhorizon_bd_14    ',surf.,UC1,bd
hg_14,    'soilhorizon_hg_14    ',surf.,UC1,hg
Ks_14,    'soilhorizon_Ks_14    ',surf.,UC1,Ks
Kx_14,    'soilhorizon_Kx_14    ',surf.,UC1,Kx
mn_14,    'soilhorizon_mn_14    ',surf.,UC1,mn
moc_14,    'soilhorizon_moc_14   ',surf.,UC1,moc
pore_14,    'soilhorizon_pore_14  ',surf.,UC1,pore
thetar_14,    'soilhorizon_thetar_14',surf.,UC1,thetar
thetas_14,    'soilhorizon_thetas_14',surf.,UC1,thetas
bd_15,    'soilhorizon_bd_15    ',surf.,UC2,bd
hg_15,    'soilhorizon_hg_15    ',surf.,UC2,hg
Ks_15,    'soilhorizon_Ks_15    ',surf.,UC2,Ks
Kx_15,    'soilhorizon_Kx_15    ',surf.,UC2,Kx
mn_15,    'soilhorizon_mn_15    ',surf.,UC2,mn
moc_15,    'soilhorizon_moc_15   ',surf.,UC2,moc
pore_15,    'soilhorizon_pore_15  ',surf.,UC2,pore
thetar_15,    'soilhorizon_thetar_15',surf.,UC2,thetar
thetas_15,    'soilhorizon_thetas_15',surf.,UC2,thetas
bd_16,    'soilhorizon_bd_16    ',surf.,UC3,bd
hg_16,    'soilhorizon_hg_16    ',surf.,UC3,hg
Ks_16,    'soilhorizon_Ks_16    ',surf.,UC3,Ks
Kx_16,    'soilhorizon_Kx_16    ',surf.,UC3,Kx
mn_16,    'soilhorizon_mn_16    ',surf.,UC3,mn
moc_16,    'soilhorizon_moc_16   ',surf.,UC3,moc
pore_16,    'soilhorizon_pore_16  ',surf.,UC3,pore
thetar_16,    'soilhorizon_thetar_16',surf.,UC3,thetar
thetas_16,    'soilhorizon_thetas_16',surf.,UC3,thetas
veget_manning_1,    'veget_manning_1      ',veget,veget,veget
veget_LAImin_1,    'veget_LAImin_1       ',veget,veget,veget
veget_LAImax_1,    'veget_LAImax_1       ',veget,veget,veget
veget_LAIharv_1,    'veget_LAIharv_1      ',veget,veget,veget
veget_F10_1,    'veget_F10_1          ',veget,veget,veget
veget_Zr_1,    'veget_Zr_1           ',veget,veget,veget
veget_manning_2,    'veget_manning_2      ',veget,veget,veget
veget_F10_2,    'veget_F10_2          ',veget,veget,veget
veget_LAI_2,    'veget_LAI_2          ',veget,veget,veget
veget_Zr_2,    'veget_Zr_2           ',veget,veget,veget
pest_DT50_1,    'pest_DT50_1          ',pest,pest,pest
pest_Koc_1,    'pest_Koc_1           ',pest,pest,pest
hu_adsorpthick,    'hu_adsorpthick       ',hu_adsorpthick,hu_adsorpthick,hu_adsorpthick
plot_hpond,    'plot_hpond           ',plot_hpond,plot_hpond,plot_hpond
vfz_hpond,    'vfz_hpond            ',vfz_hpond,vfz_hpond,vfz_hpond
river_manning,    'river_manning        ',river,river,river
river_hpond,    'river_hpond          ',river,river,river
river_di,    'river_di             ',river,river,river
river_ks,    'river_ks             ',river,river,river
